index,Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,countries
215357,56 rue de Montorgueil 2nd arr 75002 Paris France,8/20/2015,7.5,Victoires Opera, Australia , The bed was not very comfortable, Fantastic location ,8.3, leisure trip  group  junior suite  stayed 3 nights  submitted from a mobile device ,48.8648997,2.3469433,france
215841,57 59 Welbeck Street Westminster Borough London W1G 9BL UK,8/4/2015,7.5,Holiday Inn London Oxford Circus, United Kingdom ,No Negative, this hotel was easy to find and close to undergroud stations so ease of access for local attractions the rooms were clean and comfortable ,7.5, family with older children  twin room  stayed 2 nights ,51.516843,-0.1495574,uk
217107,58 Shepherds Bush Green Hammersmith and Fulham London W12 8QE UK,8/8/2015,8.6,Dorsett Shepherds Bush, United Kingdom ,No Negative, A really smart comfortable hotel with excellent service ,10.0, leisure trip  couple  dorsett double room  stayed 1 night  submitted from a mobile device ,51.5039399,-0.2244232,uk
217983,59 Leinster Square Kensington and Chelsea London W2 4PS UK,8/4/2015,7.6,New Linden Hotel, United Kingdom , Wah basin to small and difficult to wash in Bathroom generally cramped, Ideally location for Royal Albert Hall which is where I was going,6.3, leisure trip  solo traveler  standard single room  stayed 2 nights  submitted from a mobile device ,51.5133832,-0.1926617,uk
218144,6 8 Rue Duphot 1st arr 75001 Paris France,8/5/2015,9.1,Le Burgundy Paris, Saudi Arabia , Spiders all over the place And the construction noise won t let you sleep at all,No Positive,3.3, leisure trip  group  2 rooms  stayed 4 nights  submitted from a mobile device ,48.8680055,2.3260075,france
218168,6 Avenue Fr miet 16th arr 75016 Paris France,3/28/2016,8.4,Hotel Sezz Paris, United States of America , Cleanlyness toilet, Room and bathroom,8.8, business trip  solo traveler  junior suite  stayed 1 night  submitted from a mobile device ,48.8566336,2.2852607,france
218257,6 Avenue Montaigne 8th arr 75008 Paris France,9/10/2015,8.1,Hotel Montaigne, United Kingdom , Renovation works early in the morning In the room on the wall were broken wall outlet , Location,8.3, leisure trip  group  classic double room  stayed 1 night  submitted from a mobile device ,48.865467,2.3038811,france
218302,6 Avenue Victor Hugo 16th arr 75116 Paris France,8/5/2015,7.0,Hotel Royal Elys es, Saudi Arabia , nothing, location and kindess espically ,10.0, group  twin room  stayed 6 nights  submitted from a mobile device ,48.8729666,2.2926226,france
218427,6 Boulevard Vincent Auriol 13th arr 75013 Paris France,8/11/2015,8.4,Mercure Paris Bercy Biblioth que, Germany ,No Negative, Location is very good Very clean rooms Comfortable bed ,9.2, leisure trip  couple  standard double room  stayed 3 nights ,48.8370334,2.372322,france
218668,6 Frith Street Soho Westminster Borough London W1D 3JA UK,8/4/2015,9.0,Hazlitt s, United Kingdom , Room felt a little dark Rubbish forgotten left behind in our room by maid , Great decor great location ,7.1, leisure trip  couple  club double room  stayed 3 nights  submitted from a mobile device ,51.5143447,-0.1318157,uk
219220,6 Hercules Road Lambeth London SE1 7DP UK,12/12/2016,8.8,Park Plaza London Waterloo, United Kingdom ,No Negative, How friendly the staff are and also helpful ,9.2, leisure trip  couple  superior king room  stayed 2 nights  submitted from a mobile device ,51.4982412,-0.1134715,uk
220058,6 Holywell Lane Hackney London EC2A 3ET UK,9/4/2016,9.1,citizenM London Shoreditch, United Kingdom , Housekeeping knocking on the door at 9am when checkout is 11am and I had a do not disturb sign on the door, Loved the free films,9.2, business trip  solo traveler  single room  stayed 1 night  submitted from a mobile device ,51.5241373,-0.0786983,uk
220224,6 rue Balzac 8th arr 75008 Paris France,8/4/2015,8.3,H tel Balzac, Qatar ,No Negative, Location staff,7.9, leisure trip  family with young children  superior double room  stayed 4 nights  submitted from a mobile device ,48.8732785,2.3004174,france
220248,6 Rue Blaise Desgoffe 6th arr 75006 Paris France,9/24/2015,8.3,Victoria Palace Hotel, Chile , Nothing, Everything was perfect ,10.0, leisure trip  couple  double junior suite  stayed 4 nights  submitted from a mobile device ,48.8457587,2.3243071,france
220439,6 rue Buffault 9th arr 75009 Paris France,8/5/2015,8.3,Hotel Eug ne en Ville, United Kingdom , No sink in the toilet The lift which requires your throne to use it No on site entertainment, The staff they where helpful and friendly,4.5, leisure trip  couple  superior double or twin room  stayed 4 nights  submitted from a mobile device ,48.8750119,2.3416769,france
220710,6 rue Chauveau Lagarde 8th arr 75008 Paris France,8/5/2015,8.8,Newhotel Roblin, United Kingdom ,No Negative, Great location Stylish Hotel Friendly and courteous staff ,10.0, business trip  solo traveler  standard room  stayed 1 night ,48.8714152,2.3239679,france
220892,6 Rue Constance 18th arr 75018 Paris France,8/4/2015,9.3,Le Relais Montmartre, United States of America ,No Negative, The hotel was very clean and comfortable Wonderful staff I would definitely go back to stay ,9.6, leisure trip  couple  classic double room  stayed 3 nights  submitted from a mobile device ,48.8854538,2.3335809,france
221051,6 Rue de l Arcade 8th arr 75008 Paris France,8/12/2015,7.2,Amarante Beau Manoir, Saudi Arabia , Poor facilities, Location,5.4, leisure trip  family with young children  2 rooms  stayed 5 nights  submitted from a mobile device ,48.870994,2.3235329,france
221153,6 Rue De La Tour 16th arr 75016 Paris France,8/9/2015,8.7,Hotel Maison FL, Latvia , Poor Free Wifi You need to pay in order get better speed , Good view from 7th floor balcony Nice clean everything perfect ,9.6, leisure trip  couple  classic double room  stayed 1 night ,48.8396395,2.2663056,france
221267,6 rue du General Lanrezac 17th arr 75017 Paris France,8/6/2015,8.7,Balmoral Champs Elys es, United States of America , Nothing, Location good breakfast and fine staff ,10.0, leisure trip  family with young children  standard double or twin room  stayed 2 nights  submitted from a mobile device ,48.8759855,2.293938,france
221502,6 rue du Helder 9th arr 75009 Paris France,8/9/2015,8.7,The Chess Hotel, United Kingdom ,No Negative, Location service,9.6, leisure trip  couple  superior double or twin room  stayed 3 nights  submitted from a mobile device ,48.8716017,2.3349768,france
221577,6 rue Gustave Charpentier 17th arr 75017 Paris France,8/12/2015,8.5,AC Hotel Paris Porte Maillot by Marriott, United States of America , Not as close to major sites as expected and metro station, Staff very helpful ,9.6, leisure trip  family with older children  family suite  stayed 3 nights  submitted from a mobile device ,48.8820046,2.2818538,france
221667,6 Rue Lecluse 17th arr 75017 Paris France,8/9/2015,9.2,B Montmartre, United Kingdom ,No Negative, The reception staff went out of their way to be helpful nothing was to much trouble ,8.8, leisure trip  couple  privilege double room  stayed 3 nights  submitted from a mobile device ,48.883631,2.3257643,france
221758,6 Rue Pierre Demours 17th arr 75017 Paris France,8/16/2015,9.1,H tel Regent s Garden, United Kingdom , nothing, everything,10.0, leisure trip  family with older children  classic room  stayed 4 nights ,48.8797513,2.2919634,france
221783,6 Rue Saint Lambert 15th arr 75015 Paris France,9/21/2015,8.0,Mercure Paris 15 Porte de Versailles, Australia , Breakfast not included, Well located via Metro Clean and well organised ,8.3, leisure trip  couple  non smoking standard room with 1 double bed  stayed 4 nights ,48.8382542,2.2903494,france
221807,6 Rue Saint Placide 6th arr 75006 Paris France,9/6/2015,8.4,Hotel Le Placide Saint Germain Des Pr s, United Kingdom , Bed not very comfortable, Brilliant location ,8.8, with a pet  leisure trip  family with older children  junior triple suite  stayed 1 night  submitted from a mobile device ,48.8498439,2.3244253,france
221865,6 Via Aristotile Fioravanti Garibaldi Station 20154 Milan Italy,3/14/2017,8.9,Hotel VIU Milan, United States of America , After taking a shower the whole water was on the floor , Amazing new hotel There is a friendly staff in the hotel ,9.6, leisure trip  group  deluxe double room  stayed 3 nights  submitted from a mobile device ,45.488764,9.183057,italy
222217,6 Waterloo Place Westminster Borough London SW1Y 4AN UK,8/4/2015,9.2,Sofitel London St James, Italy , free wifi is slow, Location One of the best breakfast I have ever had,9.2, leisure trip  family with older children  deluxe king room  stayed 2 nights  submitted from a mobile device ,51.5076044,-0.132266,uk
222331,60 Hyde Park gate Kensington and Chelsea London SW7 5BB UK,9/10/2015,9.0,Baglioni Hotel London The Leading Hotels of the World, Switzerland , took 10 minutes to get in at 3am in morning , deco,7.5, business trip  solo traveler  deluxe double room  stayed 1 night ,51.5017224,-0.1846243,uk
223240,60 Pentonville Road Islington London N1 9LA UK,8/4/2015,8.6,DoubleTree by Hilton London Islington, United Kingdom ,No Negative, Good all round hotel in our desired area ,8.3, leisure trip  couple  double room  stayed 1 night  submitted from a mobile device ,51.5322508,-0.1095714,uk
223285,60 rue Richer 9th arr 75009 Paris France,8/18/2015,8.8,Nell Hotel Suites, United Kingdom ,No Negative, Excellent location and a beautiful appartment Staff excellent couldn t have been more helpful will stay there again without hesitation ,10.0, leisure trip  family with young children  classic apartment  stayed 1 night  submitted from a mobile device ,48.8741002,2.3426357,france
223781,61 Gloucester Road Kensington and Chelsea London SW7 4PE UK,8/4/2015,8.1,Rydges Kensington Hotel, United Kingdom ,No Negative, Excellent location Very comfortable room Helpful staff Lovely stay ,10.0, leisure trip  family with young children  one bedroom king suite with sofa bed  stayed 1 night  submitted from a mobile device ,51.4956883,-0.1827878,uk
224920,61 Lincoln s Inn Fields Camden London WC2A 3JW UK,11/12/2015,8.9,Club Quarters Hotel Lincoln s Inn Fields, United Kingdom , Nothing, Clean location great breakfast great staff ,9.2, leisure trip  couple  superior queen room  stayed 2 nights  submitted from a mobile device ,51.5160988,-0.1181749,uk
225417,61 Quai De Grenelle 15th arr 75015 Paris France,8/5/2015,7.6,Novotel Paris Centre Tour Eiffel, United Kingdom , No phone charger inside the room No kids activities play, The places,8.3, family with young children  standard room with 1 double bed and 1 sofa bed  stayed 2 nights  submitted from a mobile device ,48.8500283,2.2834126,france
225491,61 rue de la Voute 12th arr 75012 Paris France,8/20/2015,7.7,Best Western Plus 61 Paris Nation Hotel, United Kingdom ,No Negative, We was able to check in early once arriving into Paris with no extra costs The staff were very helpful ,9.6, leisure trip  group  superior double room  stayed 1 night  submitted from a mobile device ,48.8465653,2.4102405,france
225671,62 Rue Des Mathurins 8th arr 75008 Paris France,10/13/2015,9.0,Hotel Monsieur, Sweden , A misshap that they handled it poorly, Comfortable quite great breakfast great location nice staff and just a great experience,10.0, business trip  solo traveler  superior double room  stayed 3 nights ,48.8735135,2.3217457,france
225792,62 Rue Saint Dominique 7th arr 75007 Paris France,8/11/2015,8.7,Hotel Saint Dominique, Canada ,No Negative, Staff were friendly and attentive Probably in the most central position with great restaurants within 5minutes ,10.0, leisure trip  couple  superior double room  stayed 4 nights  submitted from a mobile device ,48.8599998,2.3087425,france
226714,626 Chiswick High St Chiswick London W4 5RY UK,8/4/2015,8.5,Clayton Hotel Chiswick, United Kingdom , It is pretty far from the main area of London but only a couple of minutes from the underground so still great access, Hotel room was lovely,7.9, leisure trip  couple  deluxe double room  stayed 2 nights  submitted from a mobile device ,51.4924184,-0.2784701,uk
226911,628 Western Avenue London W3 0TA UK,3/10/2017,8.9,Park Plaza London Park Royal, United Kingdom , Could do with instructions how to use TV, Staff were very helpful and friendly,9.6, business trip  solo traveler  superior king room  stayed 2 nights  submitted from a mobile device ,51.527262,-0.282992,uk
226937,63 rue de Richelieu 2nd arr 75002 Paris France,1/4/2017,8.9,Hotel Malte Astotel, South Africa ,No Negative, Beds comfy and rooms very nice,8.8, leisure trip  family with young children  standard twin room  stayed 3 nights ,48.8672474,2.33738,france
227886,64 76 Hendon Way London NW2 2NL UK,8/4/2015,7.9,Best Western Palm Hotel, United Kingdom , stark suroundings small bedroom noisy lift, bathroom well appointed,5.0, business trip  solo traveler  standard double room  stayed 1 night ,51.5634756,-0.2042758,uk
227931,64 Avenue Marceau 8th arr 75008 Paris France,8/4/2015,7.9,InterContinental Paris Avenue Marceau, Pakistan ,No Negative, Good location and professional staff ,9.2, leisure trip  solo traveler  single room non smoking  stayed 3 nights ,48.8706373,2.2982095,france
227970,64 Boulevard de Grenelle 15th arr 75015 Paris France,2/16/2016,8.3,Mercure Tour Eiffel Grenelle, Australia , Rooms are very small and overpriced ,No Positive,6.3, leisure trip  couple  standard double room  stayed 7 nights  submitted from a mobile device ,48.850448,2.2928845,france
227992,64 Rue Crozatier 12th arr 75012 Paris France,4/12/2016,7.9,Mercure Paris Bastille Saint Antoine, United Kingdom , Bit noisy at night Rooms on the bijou side , Locality was great staff friendly ,7.1, leisure trip  family with young children  standard double room  stayed 3 nights  submitted from a mobile device ,48.849574,2.3798518,france
228011,64 Rue de l Arbre Sec 1st arr 75001 Paris France,10/6/2015,8.9,Boutique H tel Konfidentiel, United Kingdom ,No Negative, Everything about the hotel was amazing Room was even better then I imagine staff very helpful and of course perfect location in the heart of Paris ,10.0, leisure trip  couple  duplex suite  stayed 3 nights  submitted from a mobile device ,48.8612535,2.3426256,france
229136,65 73 Shaftesbury Avenue Westminster Borough London W1D 6EX UK,11/30/2015,9.0,The Piccadilly London West End, Turkey , Nothing Much , Super Convenient Right in the heart of LONDON,9.6, business trip  group  premier double room  stayed 2 nights ,51.5121957,-0.1318384,uk
229220,65 rue Blanche 9th arr 75009 Paris France,11/6/2015,8.3,R Kipling by Happyculture, United Kingdom ,No Negative, Quiet Friendly and helpful staff Afternoon tea and wine tasting all included in the price and excellent ,10.0, leisure trip  couple  standard double or twin room tea time wine tasting included  stayed 2 nights  submitted from a mobile device ,48.8820838,2.3315849,france
229325,65 rue des Saints P res 6th arr 75006 Paris France,8/6/2015,8.8,Hotel Des Saints Peres Esprit de France, United Kingdom , Nothing, Location very good staff helpful and attentive breakfast excellent,8.8, leisure trip  couple  superior room  stayed 4 nights  submitted from a mobile device ,48.8534026,2.3299043,france
229591,66 Boulevard Barb s 18th arr 75018 Paris France,8/4/2015,7.2,Best Western Hotel Montmartre Sacr Coeur, Canada ,No Negative, Great location to Sacre Coeur metro Interesting neighbourhood ,8.3, leisure trip  group  twin room  stayed 2 nights  submitted from a mobile device ,48.888539,2.3498459,france
230274,66 Great Queen Street Covent Garden Camden London WC2B 5BX UK,8/9/2015,8.5,Kingsway Hall Hotel, United Kingdom , Found that most of the staff rude and unhelpful , It s a nice hotel very central but quite,6.7, leisure trip  couple  deluxe double room  stayed 1 night  submitted from a mobile device ,51.5158643,-0.1200625,uk
230359,66 Knightsbridge Westminster Borough London SW1X 7LA UK,8/13/2015,8.5,Mandarin Oriental Hyde Park London, Hong Kong , wifi, location location,9.6, leisure trip  family with young children  king room with courtyard view  stayed 3 nights ,51.5022081,-0.1599428,uk
230435,67 rue Blanche 9th arr 75009 Paris France,10/6/2015,8.1,H tel Jos phine by Happyculture, United Kingdom ,No Negative, hotel staff so very pleasant and helpful stayed here last year and will be booking for next year,10.0, leisure trip  couple  standard double or twin room  stayed 1 night ,48.8823141,2.3316688,france
231733,68 86 Cromwell Road Kensington Kensington and Chelsea London SW7 5BT UK,8/5/2015,8.2,Radisson Blu Edwardian Vanderbilt, United Kingdom ,No Negative, The service was great with polite and friendly staff,8.3, leisure trip  group  standard room  stayed 3 nights  submitted from a mobile device ,51.4953691,-0.1818966,uk
231862,68 Boulevard De Clichy 18th arr 75018 Paris France,8/9/2015,8.2,Hotel Le Chat Noir, Germany ,No Negative, Nice location at the heart of Montmartre Good price compared to other Paris hotels ,7.5, leisure trip  couple  double or twin room  stayed 2 nights  submitted from a mobile device ,48.8836255,2.3340538,france
232226,68 Regent Street West End Mayfair Westminster Borough London W1B 4DY UK,8/4/2015,9.3,Hotel Cafe Royal, United Kingdom , Paying extra for breakfast, Location staff decor,9.6, leisure trip  couple  superior king  stayed 2 nights  submitted from a mobile device ,51.5100916,-0.1359431,uk
232332,69 Boulevard Victor 15th arr 75015 Paris France,8/24/2015,8.5,Mercure Vaugirard Paris Porte De Versailles, United Kingdom , Pull out bed was terrible noisy and uncomfortable We ended up putting the mattress on the floor to sleep, Great hotel great room and location,8.8, leisure trip  family with older children  standard room with 1 double bed and 1 double sofa bed  stayed 1 night ,48.8330649,2.2879617,france
232696,69 Vincent Square Westminster Borough London SW1P 2PA UK,8/7/2015,8.2,Grange Rochester Hotel, United Kingdom , Tiny room Almost zero free room icing on top service Nothing in the fridge , Friendly staff Great location Good room service ,7.9, business trip  solo traveler  single room  stayed 1 night ,51.4942654,-0.1366026,uk
233503,7 11 Queensberry Place Kensington and Chelsea London SW7 2DL UK,8/4/2015,6.9,Gainsborough Hotel, United Kingdom ,No Negative, The hotel was clean staff helpful For the Natural History museum Albert Hall and Kensington park it was an ideal position,7.9, leisure trip  couple  deluxe double room  stayed 1 night ,51.4948416,-0.1772056,uk
233608,7 11 Rue Saint Benoit 6th arr 75006 Paris France,8/9/2015,8.6,H tel Bel Ami, Ireland ,No Negative, Fantastic location Comfortable and modern ,9.6, leisure trip  family with older children  superior room with spa fitness access  stayed 4 nights  submitted from a mobile device ,48.8550298,2.3332104,france
233743,7 8 Park Place Westminster Borough London SW1A 1LP UK,8/18/2015,8.7,St James Hotel Club Mayfair, Sweden ,No Negative, There is one word for this place Quality ,10.0, leisure trip  couple  superior room  stayed 1 night ,51.5061587,-0.1402803,uk
234180,7 9 Copthall Avenue City of London London EC2R 7NJ UK,8/4/2015,9.1,Apex London Wall Hotel, Canada , Service, Location,7.1, leisure trip  family with young children  city king or twin room  stayed 1 night  submitted from a mobile device ,51.5160484,-0.0880181,uk
234490,7 9 High Street Kensington Kensington and Chelsea London W8 5NP UK,8/13/2015,7.4,Seraphine Kensington Gardens Hotel, United Kingdom ,No Negative, Very happy we chose that hotel to stay didnt expect the room will be so nice modren and comfartabl ,10.0, leisure trip  family with young children  junior suite  stayed 1 night  submitted from a mobile device ,51.5021027,-0.187901,uk
234571,7 9 rue du Conservatoire 9th arr 75009 Paris France,8/18/2015,9.0,Hotel de Nell, United Kingdom ,No Negative, Staff were very friendly and helpful food and wine was delicious The rooms were first class we at the best time at this hotel ,10.0, leisure trip  couple  classic double room  stayed 5 nights  submitted from a mobile device ,48.8732788,2.3466576,france
234754,7 9 Rue Pierre Chausson 10th arr 75010 Paris France,1/24/2016,8.8,9Hotel Republique, United Kingdom ,No Negative, A fanfastic hotel in the centre of Paris I could not fault it in any way,10.0, leisure trip  couple  classic double room  stayed 3 nights  submitted from a mobile device ,48.8708419,2.3605864,france
234778,7 Boulevard Bourdon 4th arr 75004 Paris France,8/18/2016,9.4,Goralska R sidences H tel Paris Bastille, Qatar , No thing, Perfect hotel,10.0, leisure trip  family with young children  family suite  stayed 3 nights  submitted from a mobile device ,48.8482842,2.3657251,france
235881,7 Gracechurch Street City of London London EC3V 0DR UK,8/4/2015,8.2,Club Quarters Hotel Gracechurch, Slovenia ,No Negative, Great location very friendly Exceptional wifi and great value for money all around ,10.0, leisure trip  couple  small queen room  stayed 2 nights  submitted from a mobile device ,51.5127964,-0.0847973,uk
236054,7 Montague Street Bloomsbury Camden London WC1B 5BP UK,9/5/2015,8.3,Grange Blooms Hotel, United Kingdom , , Location ,7.9, leisure trip  couple  double room  stayed 1 night  submitted from a mobile device ,51.5196913,-0.1254243,uk
239266,7 Pepys Street City of London London EC3N 4AF UK,8/4/2015,8.7,DoubleTree by Hilton Hotel London Tower of London, United Kingdom , Corridors are dreary Staff a bit stiff, Location price,8.3, leisure trip  couple  deluxe king room  stayed 1 night  submitted from a mobile device ,51.5108412,-0.0780581,uk
239442,7 rue Casimir Delavigne 6th arr 75006 Paris France,8/11/2015,9.0,H tel Baume, United Kingdom , No Mini bar in room, Fantastic location for sights and restaurants Friendly staff,10.0, leisure trip  couple  suite with balcony  stayed 3 nights ,48.8501522,2.3392782,france
239571,7 rue Cl ment Marot 8th arr 75008 Paris France,8/8/2015,8.8,Hotel West End, Saudi Arabia ,No Negative, I like everything about it I found the hotel expinsiv but it worth it,9.2, leisure trip  couple  standard double room  stayed 4 nights  submitted from a mobile device ,48.8671391,2.3038447,france
239609,7 rue d Argenson 8th arr 75008 Paris France,8/24/2015,8.4,Arioso, Belgium , Reception was bad not prepared cleanliness of room for a four star hotel ,No Positive,5.8, leisure trip  couple  superior double room  stayed 2 nights  submitted from a mobile device ,48.8746066,2.3167195,france
239689,7 rue de Berri 8th arr 75008 Paris France,8/25/2015,8.8,H tel Lancaster Paris Champs Elys es, Qatar , Nothing, The decoration is amazing Ii love the hotel style,9.6, leisure trip  family with young children  2 rooms  stayed 5 nights  submitted from a mobile device ,48.8723438,2.3033378,france
239743,7 Rue De L h tel Colbert 5th arr 75005 Paris France,8/20/2015,8.7,Melia Paris Notre Dame, Lebanon , Very expensive with no breakfast and no coffee and tea in rooms , Staff are very friendly and helpful and the location is excellent ,8.3, leisure trip  family with older children  double room  stayed 4 nights  submitted from a mobile device ,48.8515198,2.3486511,france
239944,7 Rue des Petits H tels 10th arr 75010 Paris France,8/4/2015,8.6,Hotel Mademoiselle, United Kingdom ,No Negative, very good location breakfast was great,8.3, leisure trip  group  junior suite  stayed 2 nights ,48.8772493,2.3543043,france
239979,7 Rue Du Bourg L abb 3rd arr 75003 Paris France,9/13/2015,8.9,Hotel Les Bains Paris, United States of America ,No Negative, Staff was friendly and professional Concierge made excellent restaurant choices Hotel Restaurant was trendy with great food ,9.6, leisure trip  couple  deluxe king room  stayed 3 nights  submitted from a mobile device ,48.863828,2.3519345,france
240191,7 rue du G n ral de Larminat 15th arr 75015 Paris France,8/4/2015,8.8,Hotel Ares Eiffel, United Arab Emirates ,No Negative, Great location and an extra ordinary staff ,9.2, leisure trip  family with young children  executive room  stayed 4 nights  submitted from a mobile device ,48.8503276,2.2982022,france
240327,7 Rue Magellan 8th arr 75008 Paris France,8/4/2015,8.7,Francois 1er, Russia ,No Negative, Absolutely rich and good breakfast helpful staf ,9.2, business trip  solo traveler  classic double room  stayed 1 night ,48.8701887,2.2997281,france
240390,7 Rue Paul Albert 18th arr 75018 Paris France,8/25/2015,8.1,H tel Montmartre Mon Amour, United Kingdom , No coffee making facilities, Fantastic hotel in a great location Excellent receptionists ,9.6, leisure trip  couple  superior double room  stayed 4 nights  submitted from a mobile device ,48.886687,2.3449332,france
240500,7 Rue Rennequin 17th arr 75017 Paris France,8/5/2015,7.9,Hotel Monceau Wagram, Australia , Small rooms for the price Too small for a family stay, Good location handy to the Champs Elysees 24 hour reception Friendly Staff,7.1, leisure trip  family with older children  superior triple room  stayed 4 nights ,48.8808779,2.2989756,france
241074,7 Western Gateway Royal Victoria Dock Newham London E16 1AA UK,8/4/2015,8.5,Novotel London Excel, United Kingdom , Nothing, Everything the location the very friendly staff at breakfast an excelent service with bar food,9.6, family with young children  superior room  stayed 2 nights  submitted from a mobile device ,51.5077198,0.0229805,uk
241168,70 avenue des Champs Elysees 8th arr 75008 Paris France,8/16/2015,7.9,Paris Marriott Champs Elysees Hotel, United Arab Emirates , The room is very expense,No Positive,5.4, leisure trip  family with young children  superior room  stayed 6 nights  submitted from a mobile device ,48.8711365,2.3050482,france
241582,71 79 Southwark Street Southwark London SE1 0JA UK,8/4/2015,8.5,Mercure London Bridge, United Kingdom , television connection v poor, everything except tv,9.6, leisure trip  couple  privilege super king or twin room  stayed 1 night ,51.5052587,-0.099176,uk
241739,71 Rue de Charonne 11th arr 75011 Paris France,9/11/2015,8.9,H tel Exquis by Elegancia, Netherlands ,No Negative, the design,9.6, leisure trip  couple  double room intemporelle  stayed 2 nights ,48.8536854,2.3805796,france
242167,71 Vincent Square Westminster Borough London SW1P 2PA UK,8/4/2015,8.8,Grange Wellington Hotel, New Zealand ,No Negative, good location to Victoria Station,7.5, leisure trip  couple  superior double room  stayed 2 nights ,51.4944319,-0.1363756,uk
242323,74 rue Amelot 11th arr 75011 Paris France,8/13/2015,8.1,Les Jardins Du Marais, Netherlands , Bar personal was sour , Very good bed room for french standards Normal for US People in reception area are friendly ,7.1, business trip  solo traveler  executive room  stayed 1 night ,48.8605219,2.3680239,france
243243,75 Gower Street Camden London WC1E 6HJ UK,8/4/2015,6.4,Hotel Cavendish, Switzerland , Simply horrible Only one receptionist was nice and helpful the one from Kenya Close to the city centre ,No Positive,3.8, leisure trip  solo traveler  single room  stayed 5 nights  submitted from a mobile device ,51.5220522,-0.132414,uk
244062,78 82 Westbourne Terrace Westminster Borough London W2 6QA UK,8/4/2015,7.5,Park Grand London Hyde Park, United Kingdom ,No Negative, Everything had a great time slept very w6 ,10.0, leisure trip  couple  deluxe double room  stayed 1 night  submitted from a mobile device ,51.5157316,-0.1802179,uk
245157,78 84 Sussex Gardens Westminster Borough London W2 1UH UK,8/6/2015,7.7,Shaftesbury Metropolis London Hyde Park, Oman , Rooms are very very small and you can t fit sometimes to the bathrooms The noise is everywhere and u cannot sleep,No Positive,5.0, leisure trip  family with young children  2 rooms  stayed 1 night  submitted from a mobile device ,51.5166887,-0.1706147,uk
245309,78 Bis Avenue Marceau 8th arr 75008 Paris France,8/18/2015,7.4,Radisson Blu Champs Elys es Paris, Kuwait , Aircondition if it has a problem they dont have technician to fix it, New furnture and staff friendly,7.9, leisure trip  couple  deluxe room  stayed 1 night  submitted from a mobile device ,48.8719212,2.2971404,france
245324,78 Rue Blomet 15th arr 75015 Paris France,6/18/2017,9.4,Hotel Eiffel Blomet, Brazil ,No Negative, Great room great services great room We loved to spend our holidays in the hotel ,9.6, leisure trip  family with young children  standard double room  stayed 3 nights  submitted from a mobile device ,48.8416787,2.3022862,france
245655,79 81 avenue du Maine 14th arr 75014 Paris France,8/5/2015,7.5,Holiday Inn Paris Gare Montparnasse, United States of America ,No Negative, Convenient location to train station Nice breakfast and comfortable rooms ,7.9, leisure trip  couple  standard king room non smoking  stayed 1 night ,48.8382916,2.3230188,france
245692,79 rue Saint Dominique 7th arr 75007 Paris France,8/23/2015,8.9,H tel Thoumieux, Japan , No lift and rather dark room lighting , Spacious room for Paris good location interior design well kept privacy and Aesop amenities ,8.3, leisure trip  couple  superior double room  stayed 3 nights  submitted from a mobile device ,48.8595985,2.3088076,france
246496,8 10 Queensberry Place Kensington and Chelsea London SW7 2EA UK,8/5/2015,8.4,The Exhibitionist Hotel, New Zealand , leaving,No Positive,10.0, leisure trip  couple  standard double room  stayed 4 nights  submitted from a mobile device ,51.4947754,-0.177789,uk
246692,8 10 Rue F licien David 16th arr 75016 Paris France,8/5/2015,7.5,Auteuil Tour Eiffel, United Kingdom , Wifi was broken for whole stay, Clean rooms helpful staff location close to effiel tower,6.3, leisure trip  couple  standard room  stayed 1 night  submitted from a mobile device ,48.8506499,2.2750873,france
246910,8 12 Manchester Street Westminster Borough London W1U 4DG UK,8/17/2015,8.8,Ten Manchester Street Hotel, United Kingdom ,No Negative, Staff are very very helpful Helped me with my food every time I needed Looked after my car whilst I loaded ,9.2, leisure trip  family with older children  deluxe double room  stayed 2 nights ,51.5188,-0.153839,uk
247131,8 14 Talbot Sq Paddington Westminster Borough London W2 1TS UK,8/25/2016,8.6,Mercure London Hyde Park, United Kingdom ,No Negative, Loation food staff everything,10.0, leisure trip  group  suite  stayed 1 night  submitted from a mobile device ,51.5151149,-0.1743857,uk
247298,8 18 London Bridge St Southwark London SE1 9SG UK,8/11/2015,8.7,London Bridge Hotel, United Kingdom ,No Negative, How very welcoming the staff where,10.0, leisure trip  couple  standard double room  stayed 1 night  submitted from a mobile device ,51.5052188,-0.088166,uk
247438,8 Avenue Rapp 7th arr 75007 Paris France,8/4/2015,8.9,Derby Alma, Belgium ,No Negative, Friendly and accomodating staff and an Excellent location,10.0, leisure trip  couple  classic double room  stayed 2 nights  submitted from a mobile device ,48.8605031,2.3006606,france
247558,8 Balderton Street Brown Hart Gardens Westminster Borough London W1K 6TF UK,8/20/2015,9.4,The Beaumont Hotel, South Africa ,No Negative, The hotel was spotlessly clean and the staff were very accommodating helpful and pleasant 100 of the time Rooms and bathrooms were superb ,10.0, leisure trip  couple  classic king room  stayed 8 nights ,51.513055,-0.152257,uk
